City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Zurrieq,MT,35.8311,14.4742,78.96,88,0,6.91,clear sky
80,Yellowknife,CA,62.456,-114.3525,54.12,66,20,6.91,few clouds
81,Jamestown,US,42.097,-79.2353,67.33,93,1,1.52,clear sky
82,Saint George,US,37.1041,-113.5841,81.32,64,1,1.01,clear sky
83,Pisco,PE,-13.7,-76.2167,59.02,82,20,3.44,few clouds
84,Tasiilaq,GL,65.6145,-37.6368,41.16,84,20,1.57,few clouds
85,Coria,ES,39.9879,-6.5377,65.44,84,0,3.04,clear sky
86,Provideniya,RU,64.3833,-173.3,48.31,81,90,4.47,fog
87,Rio Grande,BR,-32.035,-52.0986,60.89,92,62,6.53,broken clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,46.0,60,0,4.0,clear sky
89,Klaksvik,FO,62.2266,-6.589,52.72,95,100,6.82,overcast clouds
90,Namibe,AO,-15.1961,12.1522,69.84,56,0,6.64,clear sky
91,Dukat,RU,62.55,155.55,53.01,99,100,3.42,moderate rain
92,Paracale,PH,14.2804,122.7881,92.5,53,72,12.15,broken clouds
93,Nikolskoye,RU,59.7035,30.7861,73.29,46,49,4.21,scattered clouds
94,Bredasdorp,ZA,-34.5322,20.0403,56.52,41,100,4.61,overcast clouds
95,Fort Nelson,CA,58.8053,-122.7002,60.39,72,20,3.44,few clouds
96,Port-Gentil,GA,-0.7193,8.7815,73.36,94,40,4.61,scattered clouds
97,Talnakh,RU,69.4865,88.3972,65.52,71,99,3.29,overcast clouds
98,Esperance,AU,-33.8667,121.9,66.04,59,8,19.55,clear sky
99,Punta Arenas,CL,-53.15,-70.9167,35.71,75,0,11.5,clear sky
100,Lorengau,PG,-2.0226,147.2712,85.41,66,38,2.3,scattered clouds
101,Kisangani,CD,0.5167,25.2,73.83,84,94,1.05,overcast clouds
102,Guerrero Negro,MX,27.9769,-114.0611,68.07,83,18,8.61,few clouds
103,Ribeira Grande,PT,38.5167,-28.7,69.55,86,9,15.1,clear sky
104,Queseria,MX,19.3667,-103.5833,65.93,97,99,0.76,overcast clouds
105,Saldanha,ZA,-33.0117,17.9442,55.45,44,100,19.1,overcast clouds
106,Darapidap,PH,17.2131,120.4114,84.96,78,87,17.34,light rain
107,Clyde River,CA,70.4692,-68.5914,35.83,93,90,3.44,overcast clouds
108,Port Elizabeth,ZA,-33.918,25.5701,55.69,41,0,9.22,clear sky
109,Chifeng,CN,42.2683,118.9636,81.88,59,100,6.53,light rain
110,Nanchang,CN,28.6833,115.8833,93.56,50,91,9.73,light rain
111,Kapaa,US,22.0752,-159.319,82.38,83,75,1.01,light rain
112,Bururi,BI,-3.85,29.6333,56.75,61,68,4.36,broken clouds
113,Yarada,IN,17.65,83.2667,89.92,66,75,9.22,haze
114,Lompoc,US,34.6391,-120.4579,63.93,89,90,3.44,overcast clouds
115,Paldiski,EE,59.3567,24.0531,72.34,72,0,2.3,clear sky
116,Upernavik,GL,72.7868,-56.1549,43.02,70,93,3.74,overcast clouds
117,Ipora,BR,-16.4419,-51.1178,61.16,43,5,3.49,clear sky
118,Caravelas,BR,-17.7125,-39.2481,67.3,90,50,3.11,scattered clouds
119,Sinnamary,GF,5.3833,-52.95,76.15,88,81,4.99,broken clouds
120,Gushikawa,JP,26.3544,127.8686,85.59,88,90,10.36,overcast clouds
121,Obidos,BR,-1.9175,-55.5181,73.69,68,16,3.33,few clouds
122,Kupang,ID,-10.1667,123.5833,84.78,61,20,11.5,few clouds
123,Dingle,PH,10.9995,122.6711,88.36,64,98,16.55,overcast clouds
124,Cherskiy,RU,68.75,161.3,54.07,47,0,17.52,clear sky
125,Cabra,ES,37.4725,-4.4421,70.9,74,0,2.84,clear sky
126,Ponta Do Sol,PT,32.6667,-17.1,72.01,84,3,3.13,clear sky
127,Hobyo,SO,5.3505,48.5268,79.2,66,87,22.82,overcast clouds
128,Broome,US,42.2506,-75.833,67.64,85,0,2.37,clear sky
129,Ofunato,JP,39.0717,141.7167,90.55,71,89,15.46,overcast clouds
130,San Policarpo,PH,12.1791,125.5072,91.78,52,93,13.71,overcast clouds
131,Tilichiki,RU,60.4667,166.1,53.83,95,99,5.46,overcast clouds
132,Huangchuan,CN,32.1272,115.0394,84.33,77,99,9.08,overcast clouds
133,Bambous Virieux,MU,-20.3428,57.7575,74.21,64,40,14.97,scattered clouds
134,Oussouye,SN,12.485,-16.5469,75.22,87,99,2.8,overcast clouds
135,Sistranda,NO,63.7256,8.834,55.9,94,25,14.43,scattered clouds
136,Acapulco,MX,16.8634,-99.8901,80.94,87,89,5.79,overcast clouds
137,Bengkulu,ID,-3.8004,102.2655,85.28,64,5,9.22,clear sky
138,Khatanga,RU,71.9667,102.5,67.26,44,72,3.56,broken clouds
139,Carutapera,BR,-1.195,-46.02,74.64,89,12,2.86,few clouds
140,Humberto De Campos,BR,-2.5983,-43.4611,73.42,88,25,3.83,scattered clouds
141,Qaanaaq,GL,77.484,-69.3632,37.92,70,100,5.41,overcast clouds
142,Kumluca,TR,36.3703,30.2869,88.32,34,1,3.0,clear sky
143,Villamontes,BO,-21.25,-63.5,70.77,62,97,1.34,overcast clouds
144,Alexander City,US,32.944,-85.9539,77.95,100,1,0.0,clear sky
145,Vrangel,RU,42.7297,133.0839,80.15,79,65,5.97,broken clouds
146,Plettenberg Bay,ZA,-34.0527,23.3716,61.61,38,88,12.01,overcast clouds
147,Dikson,RU,73.5069,80.5464,42.6,83,55,5.79,broken clouds
148,Cabo San Lucas,MX,22.8909,-109.9124,85.8,75,3,7.0,clear sky
149,Lyuban,BY,52.7985,28.0048,70.36,67,98,7.38,overcast clouds
150,Tromso,NO,69.6496,18.957,52.38,93,75,4.61,mist
151,Westport,US,41.1415,-73.3579,75.34,95,90,1.99,overcast clouds
152,Kudahuvadhoo,MV,2.6708,72.8944,81.97,73,92,0.92,overcast clouds
153,Camargo,MX,27.6667,-105.1667,77.16,45,85,10.74,overcast clouds
154,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,90,8.05,overcast clouds
155,Amilly,FR,47.9728,2.7719,63.37,92,50,7.61,scattered clouds
156,Carnarvon,AU,-24.8667,113.6333,69.87,59,22,10.36,few clouds
157,Ayan,RU,56.45,138.1667,64.69,79,50,10.09,scattered clouds
158,Srednekolymsk,RU,67.45,153.6833,60.24,36,62,13.49,broken clouds
159,Sao Filipe,CV,14.8961,-24.4956,73.99,73,91,3.89,overcast clouds
160,Luwuk,ID,-0.9516,122.7875,81.68,78,84,8.28,broken clouds
161,Barrow,US,71.2906,-156.7887,39.22,99,90,12.66,light rain
162,Senneterre,CA,48.3835,-77.2328,59.22,91,55,4.21,broken clouds
163,Chokurdakh,RU,70.6333,147.9167,56.97,39,61,11.45,broken clouds
164,Makakilo City,US,21.3469,-158.0858,82.72,67,40,10.36,scattered clouds
165,Cururupu,BR,-1.8283,-44.8683,72.25,92,16,2.01,few clouds
166,Bumba,CD,2.1833,22.4667,75.15,80,77,1.68,broken clouds
167,Karwar,IN,14.8,74.1333,79.86,84,93,14.16,overcast clouds
168,Coahuayana,MX,18.7333,-103.6833,77.92,90,51,1.74,broken clouds
169,Lavrentiya,RU,65.5833,-171.0,43.38,96,100,6.82,overcast clouds
170,Arlit,NE,18.7369,7.3853,91.99,21,100,5.46,overcast clouds
171,Isangel,VU,-19.55,169.2667,73.76,74,97,16.02,overcast clouds
172,Deputatskiy,RU,69.3,139.9,60.55,50,97,9.19,overcast clouds
173,Bolotnoye,RU,55.6717,84.3981,78.53,64,44,8.79,scattered clouds
174,Karratha,AU,-20.7377,116.8463,80.22,31,75,10.98,broken clouds
175,Bowen,AU,-20.0167,148.2333,75.42,50,49,17.92,scattered clouds
176,Tuatapere,NZ,-46.1333,167.6833,48.81,97,100,3.89,light rain
177,Morro Bay,US,35.3658,-120.8499,69.19,83,59,1.01,broken clouds
178,Opuwo,NA,-18.0607,13.84,53.53,52,1,9.89,clear sky
179,Taltal,CL,-25.4,-70.4833,55.27,79,0,3.15,clear sky
180,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,6.91,broken clouds
181,Bay Roberts,CA,47.5999,-53.2648,57.06,95,55,1.01,broken clouds
182,Meulaboh,ID,4.1363,96.1285,85.95,65,88,4.92,overcast clouds
183,Ostrovnoy,RU,68.0531,39.5131,45.48,90,96,22.64,overcast clouds
184,Ternate,ID,0.8,127.4,84.97,66,87,7.25,overcast clouds
185,Deogarh,IN,21.5333,84.7333,87.94,60,100,12.53,overcast clouds
186,San Patricio,US,28.017,-97.5169,82.89,87,3,6.93,clear sky
187,Cidreira,BR,-30.1811,-50.2056,66.11,77,94,2.39,overcast clouds
188,Kirakira,SB,-10.4544,161.9205,83.01,69,83,10.25,broken clouds
189,Vakhtan,RU,57.9659,46.6889,63.28,55,60,5.1,broken clouds
190,Tiksi,RU,71.6872,128.8694,49.95,80,90,13.44,overcast clouds
191,Canutama,BR,-6.5339,-64.3831,74.39,57,37,2.77,scattered clouds
192,Humaita,BR,-7.5061,-63.0208,74.61,53,24,0.81,few clouds
193,Castro,BR,-24.7911,-50.0119,53.65,55,10,4.14,clear sky
194,Qaqortoq,GL,60.7167,-46.0333,46.9,68,100,3.98,overcast clouds
195,Mwene-Ditu,CD,-7.0,23.45,66.04,39,28,10.47,scattered clouds
196,Puerto Vallarta,MX,20.6204,-105.2307,79.92,92,76,3.0,broken clouds
197,Suixi,CN,33.8907,116.7747,81.82,82,93,11.27,light rain
198,Mana,GF,5.6592,-53.7767,75.43,90,65,4.72,broken clouds
199,Post Falls,US,47.718,-116.9516,79.45,42,1,3.44,clear sky
200,Hirara,JP,24.8,125.2833,89.87,84,75,9.22,broken clouds
201,Urumqi,CN,43.801,87.6005,90.55,20,0,4.47,clear sky
202,Dunedin,NZ,-45.8742,170.5036,50.81,82,100,11.01,light rain
203,Nishihara,JP,26.1842,127.7558,85.66,97,90,10.36,overcast clouds
204,Ushtobe,KZ,45.2514,77.9838,101.98,10,1,3.89,clear sky
205,Airai,TL,-8.9266,125.4092,76.68,30,82,3.02,broken clouds
206,Sorland,NO,67.667,12.6934,51.87,84,100,3.83,overcast clouds
207,Roswell,US,34.0232,-84.3616,77.97,91,1,0.0,mist
208,Albany,US,42.6001,-73.9662,68.13,95,0,3.76,clear sky
209,Lovozero,RU,68.005,35.0117,47.7,68,99,19.33,overcast clouds
210,Boli,CN,45.7667,130.5167,96.69,30,99,8.5,light rain
211,Novo Aripuana,BR,-5.1206,-60.3797,74.46,65,88,2.19,overcast clouds
212,Sur,OM,22.5667,59.5289,97.34,44,89,10.49,overcast clouds
213,Colares,PT,38.7992,-9.4469,68.43,81,64,10.0,broken clouds
214,Bernardino De Campos,BR,-23.0131,-49.4742,56.52,44,0,4.7,clear sky
215,Koslan,RU,63.4564,48.8989,53.87,60,78,7.4,broken clouds
216,Norman Wells,CA,65.282,-126.8329,64.44,68,90,9.22,smoke
217,Vestmannaeyjar,IS,63.4427,-20.2734,50.59,81,97,15.79,overcast clouds
218,Vaitape,PF,-16.5167,-151.75,78.01,71,58,11.97,broken clouds
