City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
373,Edd,ER,13.9297,41.6925,88.14,64,100,5.28,overcast clouds
374,Asau,RO,46.4333,26.4,63.75,79,4,3.47,clear sky
375,Xiaoweizhai,CN,26.1903,107.5125,83.03,64,1,1.83,light rain
376,Novo Aripuana,BR,-5.1206,-60.3797,75.96,62,91,1.9,overcast clouds
377,Kamaishi,JP,39.2667,141.8833,86.95,68,70,12.95,light rain
378,Kaitangata,NZ,-46.2817,169.8464,52.93,80,100,4.12,light rain
379,Finschhafen,PG,-6.6024,147.8681,77.7,92,99,11.14,heavy intensity rain
380,Mandalgovi,MN,45.7625,106.2708,65.66,59,100,9.37,overcast clouds
381,Ruwi,OM,23.5996,58.5507,98.29,58,26,5.23,scattered clouds
382,Biltine,TD,14.5333,20.9167,75.78,73,100,10.47,overcast clouds
383,Dukat,RU,62.55,155.55,55.0,95,100,1.63,overcast clouds
384,Basco,PH,20.4487,121.9702,82.49,88,100,28.03,overcast clouds
385,Kon Tum,VN,14.35,108.0,74.52,89,100,6.06,overcast clouds
386,Guerrero Negro,MX,27.9769,-114.0611,68.77,81,2,15.84,clear sky
387,Clifton,US,40.8584,-74.1638,79.65,82,1,1.01,clear sky
388,Ena,JP,35.4498,137.4128,90.84,60,42,5.23,scattered clouds
389,Tocopilla,CL,-22.092,-70.1979,59.49,78,40,7.07,scattered clouds
390,Kuching,MY,1.55,110.3333,88.02,74,40,4.61,scattered clouds
391,Wajid,SO,3.8093,43.2471,67.59,85,27,16.98,scattered clouds
392,Lagoa,PT,39.05,-27.9833,68.81,84,14,12.19,few clouds
393,Krasnoselkup,RU,65.7,82.4667,60.03,74,100,13.85,light rain
394,Kavaratti,IN,10.5669,72.642,81.52,79,100,20.47,overcast clouds
395,Aksu,CN,41.1231,80.2644,92.32,15,0,5.35,clear sky
396,Nhulunbuy,AU,-12.2333,136.7667,84.81,51,20,18.41,few clouds
397,Nome,US,64.5011,-165.4064,50.16,87,90,9.22,light rain
398,Aloleng,PH,16.1307,119.7824,84.09,82,100,20.04,overcast clouds
399,Ribeira Grande,PT,38.5167,-28.7,69.89,85,5,16.22,clear sky
400,High Level,CA,58.5169,-117.136,64.51,72,40,5.75,scattered clouds
401,Surt,LY,31.2089,16.5887,78.28,70,0,10.38,clear sky
402,Shirokiy,RU,49.758,129.523,69.44,99,100,4.09,overcast clouds
403,Omsukchan,RU,62.5333,155.8,54.54,96,100,3.44,overcast clouds
404,Micomeseng,GQ,2.1462,10.6164,66.9,96,98,1.92,overcast clouds
405,Alekseyevsk,RU,57.8406,108.3492,83.28,35,15,7.2,few clouds
406,Mariestad,SE,58.7097,13.8237,64.87,90,65,7.7,broken clouds
407,Isangel,VU,-19.55,169.2667,80.71,69,75,6.91,broken clouds
408,Antsohihy,MG,-14.8796,47.9875,68.07,59,60,10.56,broken clouds
409,Puerto Colombia,CO,10.9878,-74.9547,77.09,79,100,2.33,overcast clouds
410,Kem,RU,64.9555,34.5793,56.8,85,98,7.14,overcast clouds
411,Rabak,SD,13.1809,32.74,73.38,87,85,14.54,overcast clouds
412,Timra,SE,62.487,17.3257,58.68,96,6,2.3,clear sky
413,Akom,CM,2.6678,12.7109,65.39,99,98,3.58,overcast clouds
414,Puri,IN,19.8,85.85,87.39,69,100,9.6,light rain
415,Yambio,SS,4.5721,28.3955,66.67,98,100,2.26,light rain
416,Tilichiki,RU,60.4667,166.1,53.38,97,100,7.02,overcast clouds
417,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.56,98,99,1.83,overcast clouds
418,Barcelona,ES,41.3888,2.159,76.71,68,20,1.99,few clouds
419,Dolzhanskaya,RU,46.6311,37.8039,74.91,63,10,18.86,clear sky
420,Haapiti,PF,-17.5667,-149.8667,80.33,67,1,6.91,clear sky
421,Saldanha,ZA,-33.0117,17.9442,51.85,42,100,19.91,overcast clouds
422,Sergeyevka,KZ,53.88,67.4158,59.9,47,0,11.43,clear sky
423,Irtyshskiy,RU,58.3333,68.1333,57.25,54,6,13.67,clear sky
424,Popondetta,PG,-8.7537,148.2534,73.83,97,100,2.48,overcast clouds
425,Kholtoson,RU,50.2981,103.3097,70.66,48,75,2.33,broken clouds
426,Bathsheba,BB,13.2167,-59.5167,77.61,94,75,4.61,broken clouds
427,Mariental,NA,-24.6333,17.9667,47.95,57,39,11.92,scattered clouds
428,Mount Vernon,US,40.9126,-73.8371,79.84,87,1,5.01,clear sky
429,Petrovskaya,RU,45.4314,37.955,68.49,49,0,11.77,clear sky
430,Vryburg,ZA,-26.9566,24.7284,34.57,60,52,6.29,broken clouds
431,Podosinovets,RU,60.2776,47.0659,57.56,71,80,7.27,broken clouds
432,Gat,IL,31.61,34.7642,78.4,84,27,3.49,scattered clouds
433,Krasnyy Profintern,RU,57.7446,40.435,59.02,59,98,5.19,overcast clouds
434,Half Moon Bay,US,37.4636,-122.4286,77.76,77,75,1.01,broken clouds
435,Grindavik,IS,63.8424,-22.4338,48.67,93,75,20.71,broken clouds
436,Isparta,TR,38.0,31.0,48.96,69,5,7.54,clear sky
437,Clyde River,CA,70.4692,-68.5914,35.83,93,90,3.44,light rain
438,Yarmouth,US,41.7057,-70.2286,73.96,91,90,5.99,overcast clouds
439,Skjervoy,NO,70.0311,20.9714,50.85,97,100,0.4,overcast clouds
440,Hvide Sande,DK,56.0045,8.1294,63.68,91,30,11.92,scattered clouds
441,Warrington,GB,53.3925,-2.5802,62.71,88,46,6.91,scattered clouds
442,Meulaboh,ID,4.1363,96.1285,83.23,71,90,0.49,overcast clouds
443,Carazinho,BR,-28.2839,-52.7864,66.9,58,98,13.69,overcast clouds
444,Machaneng,BW,-23.1862,27.4886,43.18,78,0,5.75,clear sky
445,Fare,PF,-16.7,-151.0167,77.81,68,26,7.36,scattered clouds
446,Yulara,AU,-25.2406,130.9889,73.24,15,2,12.66,clear sky
447,Moroni,KM,-11.7022,43.2551,73.58,78,30,15.57,light rain
448,Coihaique,CL,-45.5752,-72.0662,31.95,80,0,4.61,clear sky
449,Vaxjo,SE,56.8777,14.8091,64.45,88,75,4.61,broken clouds
450,Itaborai,BR,-22.7444,-42.8594,66.51,73,0,4.94,clear sky
451,Karasuk,RU,53.7377,78.0403,64.42,83,51,14.43,broken clouds
452,Zaragoza,ES,41.6561,-0.8773,69.03,63,20,8.99,light rain
453,Rio De Janeiro,BR,-22.9028,-43.2075,66.9,82,0,4.61,clear sky
454,Kongoussi,BF,13.3258,-1.5347,78.91,72,100,10.89,overcast clouds
455,Lensk,RU,60.7253,114.9278,86.27,34,7,3.11,clear sky
456,Chara,RU,56.9064,118.2631,69.96,47,12,9.08,few clouds
457,Kouroussa,GN,10.65,-9.8833,69.94,98,69,6.78,light rain
458,Aykhal,RU,66.0,111.5,82.24,40,8,11.21,clear sky
459,Fort Myers Beach,US,26.452,-81.9481,86.0,86,40,0.0,scattered clouds
460,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,49,0,14.97,clear sky
461,Tarko-Sale,RU,64.9225,77.785,51.35,95,100,13.85,moderate rain
462,Lavrentiya,RU,65.5833,-171.0,44.6,98,100,5.19,overcast clouds
463,General Roca,AR,-39.0333,-67.5833,45.0,70,56,9.42,broken clouds
464,Weligama,LK,5.9667,80.4167,80.94,83,86,12.88,overcast clouds
465,Manakara,MG,-22.1333,48.0167,61.57,78,69,5.37,light rain
466,Takaka,NZ,-40.85,172.8,57.56,93,98,9.53,overcast clouds
467,Idanre,NG,7.1127,5.1159,66.13,97,73,1.83,broken clouds
468,Saraikela,IN,22.7167,85.95,85.64,70,100,12.12,overcast clouds
469,Kupang,ID,-10.1667,123.5833,84.78,54,20,8.05,few clouds
470,Camana,PE,-16.6228,-72.7111,60.71,86,61,5.82,broken clouds
471,Orcopampa,PE,-15.2661,-72.3417,40.3,46,26,2.84,scattered clouds
472,Polunochnoye,RU,60.8697,60.4153,57.13,58,53,7.92,broken clouds
473,Mantua,IT,45.1667,10.7833,74.01,78,90,3.06,overcast clouds
474,Sola,VU,-13.8833,167.55,84.87,74,75,5.75,broken clouds
475,Phatthalung,TH,7.5,100.0833,87.75,63,99,5.48,overcast clouds
476,Mago,RU,53.2514,140.1822,84.79,52,100,6.04,overcast clouds
477,Goderich,CA,43.7501,-81.7165,68.92,88,0,3.44,clear sky
478,The Valley,AI,18.217,-63.0578,82.26,83,74,19.69,broken clouds
479,Palmer,US,42.1584,-72.3287,72.84,85,40,4.61,scattered clouds
480,Semey,KZ,50.4111,80.2275,80.82,44,40,17.9,scattered clouds
481,Shingu,JP,33.7333,135.9833,86.99,64,0,6.15,clear sky
482,Patnos,TR,39.2336,42.8634,55.63,33,0,2.68,clear sky
483,Lakes Entrance,AU,-37.8811,147.981,67.17,51,47,14.2,scattered clouds
484,Arlit,NE,18.7369,7.3853,93.81,20,100,8.81,overcast clouds
485,Svetlyy,RU,54.675,20.1347,60.85,75,100,9.93,overcast clouds
486,Cocorit,MX,27.5833,-109.9667,88.27,51,2,8.52,clear sky
487,Edson,CA,53.5835,-116.4356,55.54,100,90,8.05,moderate rain
488,Tuntum,BR,-5.2581,-44.6489,72.41,48,9,4.18,clear sky
489,Sayyan,YE,15.1718,44.3244,60.49,74,62,1.92,broken clouds
490,Westerland,DE,54.9079,8.3033,66.22,94,20,9.22,few clouds
491,Beyneu,KZ,45.3167,55.2,84.42,23,23,13.69,few clouds
492,Sinnamary,GF,5.3833,-52.95,77.2,87,100,6.08,overcast clouds
493,Aras,ES,42.5617,-2.356,63.01,63,90,2.3,overcast clouds
494,Ornskoldsvik,SE,63.2909,18.7153,58.15,94,70,3.44,broken clouds
495,Belaya Gora,RU,68.5333,146.4167,61.93,32,8,9.86,clear sky
496,Karpogory,RU,64.0019,44.4451,46.31,96,96,4.5,overcast clouds
497,Lebowakgomo,ZA,-24.2,29.5,38.3,86,0,2.08,clear sky
498,Shawnee,US,39.05,-95.7669,79.12,83,1,0.0,clear sky
