City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Villa Bruzual,VE,73.65,overcast clouds,9.3328,-69.1208,Edificio Guarente
435,Altamont,US,71.67,overcast clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
444,Ridgetown,CA,67.86,overcast clouds,42.4334,-81.8998,JOJO's Paradise Bed & Breakfast/SPA/Bakery Café
446,Zhigansk,RU,70.47,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
447,Zwedru,LR,69.87,overcast clouds,6.0667,-8.1281,Elijah Worjloh
448,Saint-Francois,FR,62.47,broken clouds,46.4154,3.9054,Manoir Du Bonheur
449,Tuzha,RU,60.49,broken clouds,57.6062,47.936,Na Beregu
454,Ayan,RU,64.54,scattered clouds,56.45,138.1667,Gostinitsa
456,Alto Araguaia,BR,62.13,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
458,Lauria,IT,73.89,few clouds,40.0465,15.8358,Hotel Isola Di Lauria
461,Rosarito,MX,71.08,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
463,Qostanay,KZ,64.69,clear sky,53.1667,63.5833,Hotel Fessla
468,Arona,ES,69.03,clear sky,28.0996,-16.681,Paradise Court
470,Presidencia Roque Saenz Pena,AR,66.9,overcast clouds,-26.7852,-60.4388,Hotel Gualok
471,Namibe,AO,69.49,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
473,Paoua,CF,67.41,light rain,7.2427,16.4406,Quartier Paoua Elien
474,San Quintin,MX,66.74,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
475,Yuanping,CN,74.77,light rain,38.7153,112.7575,Yuanping Xinghe Guesthouse
477,Bagdarin,RU,69.39,scattered clouds,54.4333,113.6,Gostevoy Dom Terem
479,Sept-Iles,CA,61.32,mist,50.2001,-66.3821,Comfort Inn
486,Elesbao Veloso,BR,69.04,few clouds,-6.2019,-42.1403,Pousada Paraiso
493,Yashkino,RU,68.95,light rain,55.8736,85.4265,District court
495,Yichun,CN,71.2,light rain,47.7,128.9,锦江酒店
500,Xai-Xai,MZ,60.78,scattered clouds,-25.0519,33.6442,Complexo da Familia
503,Calabozo,VE,72.66,broken clouds,8.9242,-67.4293,Hotel Giardini
505,Inhambane,MZ,66.4,broken clouds,-23.865,35.3833,Oceano
507,Obuasi,GH,65.62,few clouds,6.206,-1.6619,Mawuli Hotel
515,Tomaszow Mazowiecki,PL,67.48,few clouds,51.5313,20.0086,Hotel Mazowiecki
517,Nantucket,US,73.99,overcast clouds,41.2835,-70.0995,Jared Coffin House
524,Winchester,GB,62.47,broken clouds,51.0651,-1.3187,"The Wykeham Arms, Winchester"
526,Javanrud,IR,65.84,clear sky,34.7961,46.5172,Bonnie power
532,Santa Isabel Do Rio Negro,BR,72.0,overcast clouds,-0.4139,-65.0192,Hotel GSA
